m,l0,phi,eps,is_sat
0.13819095,0.02,0.90465885,0.06382863,False
0.14070351,0.02,0.9082608,0.06547068,False
0.14321607,0.02,0.9117874,0.06712131,False
0.14572865,0.02,0.91524106,0.06877927,False
0.1482412,0.02,0.91862434,0.07044456,False
0.15075377,0.02,0.9219398,0.07211697,False
0.15326633,0.02,0.9251895,0.07379622,False
0.1557789,0.02,0.9283758,0.075483456,False
0.15829146,0.02,0.93150014,0.07717504,False
0.16080402,0.02,0.9345652,0.07887431,False
0.16331658,0.02,0.93757266,0.08058014,False
0.16582914,0.02,0.9405241,0.08229224,False
0.16834171,0.02,0.9434216,0.084010646,False
0.17085427,0.02,0.9462664,0.08573504,False
0.17336683,0.02,0.9490604,0.0874654,False
0.17587939,0.02,0.95180476,0.08920186,False
0.17839196,0.02,0.95450115,0.09094393,False
0.18090452,0.02,0.957151,0.0926919,False
0.18341708,0.02,0.9597554,0.0944453,False
0.18592964,0.02,0.9623159,0.09620424,False
0.18844222,0.02,0.9648334,0.097968936,False
0.19095477,0.02,0.96730924,0.09973866,False
0.19346733,0.02,0.96974456,0.10151697,False
0.1959799,0.02,0.9721402,0.1032944,False
0.19849247,0.02,0.9744977,0.10507979,False
0.20100503,0.02,0.9768175,0.106870495,False
0.20351759,0.02,0.97910094,0.10866583,False
0.20603015,0.02,0.98134875,0.11046639,False
0.2085427,0.02,0.98356193,0.11227186,False
0.21105528,0.02,0.9857413,0.11408202,False
0.21356784,0.02,0.98788774,0.115896925,False
0.2160804,0.02,0.9900019,0.11771665,False
0.21859296,0.02,0.99208486,0.11954078,False
0.22110553,0.02,0.9941369,0.12136954,False
0.22361809,0.02,0.996159,0.12320287,False
0.22613065,0.02,0.998152,0.12504064,False
0.22864321,0.02,1.0001163,0.12688273,False
0.23115578,0.02,1.0020529,0.1287293,False
0.23366834,0.02,1.003962,0.1305799,False
0.2361809,0.02,1.0058446,0.13243496,False
0.23869346,0.02,1.0077008,0.13429423,False
0.24120602,0.02,1.0095316,0.13615768,False
0.2437186,0.02,1.0113376,0.13802509,False
0.24623115,0.02,1.013119,0.1398967,False
0.24874371,0.02,1.0148765,0.14177212,False
0.2512563,0.02,1.0166106,0.1436517,False
0.25376883,0.02,1.0183218,0.14553517,False
0.2562814,0.02,1.0200105,0.14742252,False
0.25879398,0.02,1.0216771,0.1493139,False
0.26130652,0.02,1.0233222,0.15120916,False
0.2638191,0.02,1.0249463,0.15310791,False
0.26633164,0.02,1.0265496,0.15501061,False
0.26884422,0.02,1.0281327,0.15691693,False
0.2713568,0.02,1.0296957,0.15882741,False
0.27386934,0.02,1.0312396,0.1607465,False
0.2763819,0.02,1.0327637,0.16265826,False
0.27889448,0.02,1.0342695,0.16457921,False
0.28140703,0.02,1.0357567,0.16650377,False
0.2839196,0.02,1.0372258,0.16843194,False
0.28643215,0.02,1.0386773,0.17036347,False
0.28894472,0.02,1.0401113,0.17229855,False
0.2914573,0.02,1.0415281,0.17423713,False
0.29396984,0.02,1.0429283,0.17617896,False
0.2964824,0.02,1.0443119,0.17812434,False
0.29899496,0.02,1.0456792,0.18007302,False
0.30150753,0.02,1.0470307,0.18202516,False
0.3040201,0.02,1.0483665,0.18398061,False
0.30653265,0.02,1.0496869,0.18593918,False
0.30904523,0.02,1.0509924,0.18790132,False
0.3115578,0.02,1.0522828,0.18986662,False
0.31407034,0.02,1.0535586,0.19183496,False
0.31658292,0.02,1.0548203,0.19380663,False
0.31909546,0.02,1.0560676,0.19578166,False
0.32160804,0.02,1.057301,0.1977596,False
0.3241206,0.02,1.0585209,0.19974096,False
0.32663316,0.02,1.0597277,0.20172885,False
0.32914573,0.02,1.0609206,0.2037125,False
0.33165827,0.02,1.0621011,0.20570797,False
0.33417085,0.02,1.063268,0.20769677,False
0.33668342,0.02,1.0644228,0.20969355,False
0.33919597,0.02,1.0655651,0.21169317,False
0.34170854,0.02,1.0666952,0.21369988,False
0.34422112,0.02,1.0678133,0.21570192,False
0.34673366,0.02,1.0689195,0.21771055,False
0.34924623,0.02,1.0700141,0.21972224,False
0.35175878,0.02,1.0710971,0.2217371,False
0.35427135,0.02,1.0721688,0.2237548,False
0.35678393,0.02,1.0732294,0.22577547,False
0.35929647,0.02,1.0742791,0.22779888,False
0.36180905,0.02,1.0753179,0.22982542,False
0.3643216,0.02,1.0763458,0.23185451,False
0.36683416,0.02,1.0773634,0.23388696,False
0.36934674,0.02,1.0783706,0.23592204,False
0.37185928,0.02,1.0793675,0.23796004,False
0.37437186,0.02,1.0803542,0.24000075,False
0.37688443,0.02,1.0813313,0.24204455,False
0.37939698,0.02,1.0822983,0.24409084,False
0.38190955,0.02,1.0832556,0.2461402,False
0.3844221,0.02,1.0842035,0.24819222,False
0.38693467,0.02,1.085142,0.25024694,False
0.38944724,0.02,1.086071,0.25230467,False
0.3919598,0.02,1.0869911,0.25436515,False
0.39447236,0.02,1.0879021,0.25642836,False
0.39698493,0.02,1.088804,0.2584942,False
0.39949748,0.02,1.0896972,0.2605626,False
0.40201005,0.02,1.0905818,0.2626341,False
0.4045226,0.02,1.0914576,0.2647082,False
0.40703517,0.02,1.0923251,0.26678497,False
0.40954775,0.02,1.0931842,0.2688648,False
0.4120603,0.02,1.094035,0.27094674,False
0.41457286,0.02,1.0948777,0.27303174,False
0.4170854,0.02,1.0957122,0.27511922,False
0.41959798,0.02,1.0965388,0.27720946,False
0.42211056,0.02,1.0973575,0.27930236,False
0.4246231,0.02,1.0981685,0.2813981,False
0.42713568,0.02,1.0989717,0.2834964,False
0.42964825,0.02,1.0997676,0.2855975,False
0.4321608,0.02,1.1005558,0.28770086,False
0.43467337,0.02,1.1013365,0.28980714,False
0.4371859,0.02,1.10211,0.29191607,False
0.4396985,0.02,1.1028763,0.29402736,False
0.44221106,0.02,1.1036354,0.2961415,False
0.4447236,0.02,1.1043875,0.29825807,False
0.44723618,0.02,1.1051329,0.30038476,False
0.44974872,0.02,1.1058706,0.30250147,False
0.4522613,0.02,1.1066018,0.30462396,False
0.45477387,0.02,1.1073265,0.30675218,False
0.45728642,0.02,1.1080446,0.30888605,False
0.459799,0.02,1.1087554,0.31101316,False
0.46231157,0.02,1.1094601,0.3131479,False
0.4648241,0.02,1.1101582,0.3152853,False
0.46733668,0.02,1.1108501,0.3174255,False
0.46984923,0.02,1.1115355,0.31956798,False
0.4723618,0.02,1.1122147,0.32171312,False
0.47487438,0.02,1.1128876,0.32386094,False
0.47738692,0.02,1.1135546,0.3260113,False
0.4798995,0.02,1.1142154,0.32816428,False
0.48241204,0.02,1.1148702,0.3303198,False
0.4849246,0.02,1.1155189,0.33247796,False
0.4874372,0.02,1.116162,0.33463836,False
0.48994973,0.02,1.116799,0.33680135,False
0.4924623,0.02,1.1174303,0.33896717,False
0.49497488,0.02,1.1180558,0.3411355,False
0.49748743,0.02,1.1186758,0.34330633,False
0.5,0.02,1.2755005,0.10386514,True
0.0,0.020301506,0.0040610717,1.7445855e-06,False
0.0025125628,0.020301506,0.19957335,9.1624884e-07,False
0.0050251256,0.020301506,0.27698863,9.215556e-07,False
0.007537688,0.020301506,0.33332846,9.2785467e-07,False
0.010050251,0.020301506,0.37856907,9.369401e-07,False
0.012562814,0.020301506,0.41666654,9.473607e-07,False
0.015075376,0.020301506,0.44968796,9.575466e-07,False
0.01758794,0.020301506,0.47886613,9.733378e-07,False
0.020100502,0.020301506,0.50502795,1.2620585e-05,False
0.022613065,0.020301506,0.5283603,0.0010301571,False
0.025125628,0.020301506,0.54965717,0.0020441248,False
0.027638191,0.020301506,0.5692348,0.0030656261,False
0.030150753,0.020301506,0.58733934,0.0041013537,False
0.032663316,0.020301506,0.6041671,0.005154869,False
0.03517588,0.020301506,0.619877,0.006228756,False
0.03768844,0.020301506,0.6345995,0.007323823,False
0.040201005,0.020301506,0.6484439,0.008440977,False
0.042713568,0.020301506,0.6615017,0.009580159,False
0.04522613,0.020301506,0.6738512,0.010741069,False
0.047738694,0.020301506,0.6855595,0.011923641,False
0.050251257,0.020301506,0.6966847,0.013128025,False
0.05276382,0.020301506,0.707277,0.014350884,False
0.055276383,0.020301506,0.71738094,0.01559516,False
0.057788946,0.020301506,0.7270356,0.016856886,False
0.060301505,0.020301506,0.73627543,0.018138507,False
0.06281407,0.020301506,0.7451314,0.019437898,False
0.06532663,0.020301506,0.75363106,0.020754807,False
0.0678392,0.020301506,0.7617991,0.022088509,False
0.07035176,0.020301506,0.7696581,0.023439066,False
0.072864324,0.020301506,0.77722734,0.02480453,False
0.07537688,0.020301506,0.78452593,0.026185682,False
0.07788945,0.020301506,0.7915705,0.027581705,False
0.08040201,0.020301506,0.7983757,0.028991958,False
0.08291457,0.020301506,0.804956,0.030416073,False
0.085427135,0.020301506,0.8113237,0.03185364,False
0.087939695,0.020301506,0.8174909,0.033304185,False
0.09045226,0.020301506,0.8234683,0.034769777,False
0.09296482,0.020301506,0.8292654,0.03624298,False
0.09547739,0.020301506,0.83489186,0.037730414,False
0.09798995,0.020301506,0.8403564,0.039230987,False
0.10050251,0.020301506,0.8456666,0.040739875,False
0.10301507,0.020301506,0.85082996,0.042261057,False
0.10552764,0.020301506,0.85585344,0.043793038,False
0.1080402,0.020301506,0.8607433,0.04533533,False
0.110552765,0.020301506,0.8655063,0.046893775,False
0.113065325,0.020301506,0.87014633,0.048449945,False
0.11557789,0.020301506,0.8746703,0.050021656,False
0.11809045,0.020301506,0.87908256,0.051602814,False
0.12060301,0.020301506,0.8833876,0.053193014,False
0.12311558,0.020301506,0.8875903,0.054792326,False
0.12562814,0.020301506,0.89169425,0.05640037,False
0.1281407,0.020301506,0.8957036,0.058016542,False
0.13065326,0.020301506,0.8996219,0.05964139,False
0.13316582,0.020301506,0.9034526,0.061274163,False
0.1356784,0.020301506,0.9071991,0.062914856,False
0.13819095,0.020301506,0.9108644,0.06456367,False
0.14070351,0.020301506,0.9144515,0.06621966,False
0.14321607,0.020301506,0.91796297,0.06788349,False
0.14572865,0.020301506,0.92140186,0.06955427,False
0.1482412,0.020301506,0.9247702,0.071232565,False
0.15075377,0.020301506,0.9280712,0.07292022,False
0.15326633,0.020301506,0.9313057,0.07460956,False
0.1557789,0.020301506,0.9344771,0.076308385,False
0.15829146,0.020301506,0.9375871,0.078013755,False
0.16080402,0.020301506,0.9406376,0.07972574,False
0.16331658,0.020301506,0.9436306,0.08144409,False
0.16582914,0.020301506,0.9465678,0.08316864,False
0.16834171,0.020301506,0.94945085,0.084899545,False
0.17085427,0.020301506,0.9522815,0.086636335,False
0.17336683,0.020301506,0.95506126,0.088378996,False
0.17587939,0.020301506,0.95779175,0.09012775,False
0.17839196,0.020301506,0.96047413,0.09188192,False
0.18090452,0.020301506,0.96311015,0.09364211,False
0.18341708,0.020301506,0.96570086,0.09540771,False
0.18592964,0.020301506,0.9682475,0.09717883,False
0.18844222,0.020301506,0.9707515,0.09895544,False
0.19095477,0.020301506,0.97321373,0.1007373,False
0.19346733,0.020301506,0.97563565,0.10252455,False
0.1959799,0.020301506,0.97801816,0.104316734,False
0.19849247,0.020301506,0.98036236,0.10611418,False
0.20100503,0.020301506,0.9826692,0.1079166,False
0.20351759,0.020301506,0.9849395,0.10972402,False
0.20603015,0.020301506,0.9871744,0.11153635,False
0.2085427,0.020301506,0.98937476,0.11335343,False
0.21105528,0.020301506,0.9915414,0.115175515,False
0.21356784,0.020301506,0.9936751,0.11700192,False
0.2160804,0.020301506,0.9957768,0.118833244,False
0.21859296,0.020301506,0.99784714,0.12066909,False
0.22110553,0.020301506,0.99988693,0.122509345,False
0.22361809,0.020301506,1.0018967,0.12435422,False
0.22613065,0.020301506,1.0038775,0.1262035,False
0.22864321,0.020301506,1.0058298,0.12805709,False
0.23115578,0.020301506,1.0077543,0.12991494,False
0.23366834,0.020301506,1.0096515,0.13177706,False
0.2361809,0.020301506,1.0115222,0.13364345,False
0.23869346,0.020301506,1.0133667,0.13551408,False
0.24120602,0.020301506,1.015186,0.13738874,False
0.2437186,0.020301506,1.0169803,0.13926753,False
0.24623115,0.020301506,1.0187501,0.14115046,False
0.24874371,0.020301506,1.0204962,0.14303716,False
0.2512563,0.020301506,1.0222191,0.14492802,False
0.25376883,0.020301506,1.023919,0.1468227,False
0.2562814,0.020301506,1.0255965,0.1487212,False
0.25879398,0.020301506,1.0272522,0.15062375,False
0.26130652,0.020301506,1.0288863,0.15252994,False
0.2638191,0.020301506,1.0304993,0.1544412,False
0.26633164,0.020301506,1.0320919,0.1563536,False
0.26884422,0.020301506,1.0336641,0.15827113,False
0.2713568,0.020301506,1.0352167,0.16019228,False
0.27386934,0.020301506,1.0367496,0.16211706,False
0.2763819,0.020301506,1.0382636,0.16404542,False
0.27889448,0.020301506,1.0397588,0.16597743,False
0.28140703,0.020301506,1.0412357,0.16791283,False
0.2839196,0.020301506,1.0426946,0.16985197,False
0.28643215,0.020301506,1.0441357,0.17179437,False
0.28894472,0.020301506,1.0455596,0.1737404,False
0.2914573,0.020301506,1.0469664,0.17568965,False
0.29396984,0.020301506,1.0483565,0.1776426,False
0.2964824,0.020301506,1.0497301,0.17959885,False
0.29899496,0.020301506,1.0510876,0.18155812,False
0.30150753,0.020301506,1.0524293,0.18352112,False
0.3040201,0.020301506,1.0537554,0.1854874,False
0.30653265,0.020301506,1.0550662,0.18745689,False
0.30904523,0.020301506,1.056362,0.18942961,False
0.3115578,0.020301506,1.0576429,0.1914055,False
0.31407034,0.020301506,1.0589094,0.19338472,False
0.31658292,0.020301506,1.0601616,0.19536869,False
0.31909546,0.020301506,1.0613997,0.19735368,False
0.32160804,0.020301506,1.0626239,0.19934134,False
0.3241206,0.020301506,1.0638345,0.20133342,False
0.32663316,0.020301506,1.0650318,0.2033285,False
0.32914573,0.020301506,1.0662159,0.20532659,False
0.33165827,0.020301506,1.067387,0.2073277,False
0.33417085,0.020301506,1.0685455,0.20933186,False
0.33668342,0.020301506,1.0696914,0.21133944,False
0.33919597,0.020301506,1.0708249,0.2133497,False
0.34170854,0.020301506,1.0719461,0.21536304,False
0.34422112,0.020301506,1.0730555,0.21737936,False
0.34673366,0.020301506,1.0741532,0.2193988,False
0.34924623,0.020301506,1.0752391,0.22142111,False
0.35175878,0.020301506,1.0763136,0.2234464,False
0.35427135,0.020301506,1.0773768,0.22547457,False
0.35678393,0.020301506,1.078429,0.22750583,False
0.35929647,0.020301506,1.0794702,0.22953983,False
0.36180905,0.020301506,1.0805007,0.23157668,False
0.3643216,0.020301506,1.0815204,0.23361664,False
0.36683416,0.020301506,1.0825298,0.23565936,False
0.36934674,0.020301506,1.0835288,0.2377051,False
0.37185928,0.020301506,1.0845176,0.23975351,False
0.37437186,0.020301506,1.0854964,0.2418047,False
0.37688443,0.020301506,1.0864652,0.24385887,False
0.37939698,0.020301506,1.0874244,0.24591604,False
0.38190955,0.020301506,1.0883739,0.2479755,False
0.3844221,0.020301506,1.0893139,0.25003806,False
0.38693467,0.020301506,1.0902447,0.25210357,False
0.38944724,0.020301506,1.0911659,0.2541716,False
0.3919598,0.020301506,1.0920782,0.25624225,False
0.39447236,0.020301506,1.0929815,0.25831595,False
0.39698493,0.020301506,1.0938759,0.26039228,False
0.39949748,0.020301506,1.0947615,0.2624715,False
0.40201005,0.020301506,1.0956385,0.2645533,False
0.4045226,0.020301506,1.096507,0.26663783,False
0.40703517,0.020301506,1.0973669,0.26872522,False
0.40954775,0.020301506,1.0982186,0.2708151,False
0.4120603,0.020301506,1.0990621,0.27290782,False
0.41457286,0.020301506,1.0998975,0.2750031,False
0.4170854,0.020301506,1.1007247,0.2771014,False
0.41959798,0.020301506,1.1015441,0.2792019,False
0.42211056,0.020301506,1.1023557,0.2813054,False
0.4246231,0.020301506,1.1031597,0.28341126,False
0.42713568,0.020301506,1.1039557,0.28552008,False
0.42964825,0.020301506,1.1047444,0.2876314,False
0.4321608,0.020301506,1.1055259,0.2897498,False
0.43467337,0.020301506,1.1062995,0.29186273,False
0.4371859,0.020301506,1.107066,0.29398185,False
0.4396985,0.020301506,1.1078258,0.2961076,False
0.44221106,0.020301506,1.1085777,0.29822788,False
0.4447236,0.020301506,1.1093229,0.30035508,False
0.44723618,0.020301506,1.1100612,0.30248472,False
0.44974872,0.020301506,1.1107925,0.3046172,False
0.4522613,0.020301506,1.1115172,0.30675226,False
0.45477387,0.020301506,1.112235,0.3088897,False
0.45728642,0.020301506,1.1129463,0.3110299,False
0.459799,0.020301506,1.1136509,0.31317273,False
0.46231157,0.020301506,1.114349,0.3153184,False
0.4648241,0.020301506,1.1150408,0.31746626,False
0.46733668,0.020301506,1.115726,0.31961676,False
0.46984923,0.020301506,1.1164051,0.32176983,False
0.4723618,0.020301506,1.1170778,0.32392558,False
0.47487438,0.020301506,1.1177444,0.3260839,False
0.47738692,0.020301506,1.118405,0.3282448,False
0.4798995,0.020301506,1.1190594,0.33040807,False
0.48241204,0.020301506,1.119708,0.33257407,False
0.4849246,0.020301506,1.1203505,0.33474278,False
0.4874372,0.020301506,1.1209872,0.33691394,False
0.48994973,0.020301506,1.1216182,0.3390877,False
0.4924623,0.020301506,1.1222433,0.34126377,False
0.49497488,0.020301506,1.1228628,0.34344274,False
0.49748743,0.020301506,1.1234766,0.3456241,False
0.5,0.020301506,1.2755005,0.11609693,True
0.0,0.020603014,0.0041213874,9.117763e-07,False
0.0025125628,0.020603014,0.20241944,9.182304e-07,False
0.0050251256,0.020603014,0.28079763,9.1668153e-07,False
0.007537688,0.020603014,0.33775753,9.238182e-07,False
0.010050251,0.020603014,0.3834459,9.414442e-07,False
0.012562814,0.020603014,0.42188323,9.4580844e-07,False
0.015075376,0.020603014,0.45516717,9.640644e-07,False
0.01758794,0.020603014,0.4845549,9.795651e-07,False
0.020100502,0.020603014,0.51086664,6.348657e-05,False
0.022613065,0.020603014,0.5343292,0.0010950833,False
0.025125628,0.020603014,0.5557318,0.0021235493,False
0.027638191,0.020603014,0.5753956,0.0031598283,False
0.030150753,0.020603014,0.5935707,0.0042102486,False
0.032663316,0.020603014,0.61045605,0.0052788868,False
0.03517588,0.020603014,0.62621284,0.006368108,False
0.03768844,0.020603014,0.6409735,0.0074786847,False
0.040201005,0.020603014,0.6548484,0.008610999,False
0.042713568,0.020603014,0.66793054,0.009765729,False
0.04522613,0.020603014,0.68029886,0.010942094,False
0.047738694,0.020603014,0.6920215,0.012140289,False
0.050251257,0.020603014,0.7031568,0.013358839,False
0.05276382,0.020603014,0.713756,0.014598116,False
0.055276383,0.020603014,0.7238639,0.015856193,False
0.057788946,0.020603014,0.7335199,0.017137354,False
0.060301505,0.020603014,0.742759,0.018430768,False
0.06281407,0.020603014,0.7516122,0.01974551,False
0.06532663,0.020603014,0.76010734,0.021077417,False
0.0678392,0.020603014,0.7682694,0.022426121,False
0.07035176,0.020603014,0.776121,0.02379107,False
0.072864324,0.020603014,0.78368217,0.025171775,False
0.07537688,0.020603014,0.79097146,0.026567735,False
0.07788945,0.020603014,0.7980057,0.027978094,False
0.08040201,0.020603014,0.80480003,0.02940294,False
0.08291457,0.020603014,0.8113687,0.030841623,False
0.085427135,0.020603014,0.8177242,0.03229372,False
0.087939695,0.020603014,0.82387865,0.033759274,False
0.09045226,0.020603014,0.8298427,0.03523594,False
0.09296482,0.020603014,0.8356264,0.03672557,False
0.09547739,0.020603014,0.8412397,0.038233276,False
0.09798995,0.020603014,0.84668946,0.039740074,False
0.10050251,0.020603014,0.8519852,0.041264217,False
0.10301507,0.020603014,0.857134,0.04279934,False
0.10552764,0.020603014,0.8621432,0.044348985,False
0.1080402,0.020603014,0.8670178,0.045900747,False
0.110552765,0.020603014,0.8717651,0.04746674,False
0.113065325,0.020603014,0.8763905,0.049042277,False
0.11557789,0.020603014,0.88089937,0.05062758,False
0.11809045,0.020603014,0.8852963,0.05222217,False
0.12060301,0.020603014,0.88958627,0.053825565,False
0.12311558,0.020603014,0.8937735,0.05543823,False
0.12562814,0.020603014,0.8978622,0.057059143,False
0.1281407,0.020603014,0.9018561,0.058688533,False
0.13065326,0.020603014,0.90575916,0.060326483,False
0.13316582,0.020603014,0.90957457,0.061972175,False
0.1356784,0.020603014,0.9133058,0.06362574,False
0.13819095,0.020603014,0.9169559,0.06528718,False
0.14070351,0.020603014,0.9205278,0.066956095,False
0.14321607,0.020603014,0.92402434,0.06863246,False
0.14572865,0.020603014,0.92744875,0.07032345,False
0.1482412,0.020603014,0.9308022,0.072014146,False
0.15075377,0.020603014,0.9340871,0.07370433,False
0.15326633,0.020603014,0.9373071,0.075408846,False
0.1557789,0.020603014,0.9404638,0.07712009,False
0.15829146,0.020603014,0.94355917,0.07883777,False
0.16080402,0.020603014,0.946595,0.080562145,False
0.16331658,0.020603014,0.94957346,0.08229257,False
0.16582914,0.020603014,0.95249623,0.08402939,False
0.16834171,0.020603014,0.955365,0.085772194,False
0.17085427,0.020603014,0.95818144,0.087521166,False
0.17336683,0.020603014,0.9609471,0.08927582,False
0.17587939,0.020603014,0.96366346,0.09103654,False
0.17839196,0.020603014,0.966332,0.09280294,False
0.18090452,0.020603014,0.9689541,0.094574794,False
0.18341708,0.020603014,0.97153103,0.09635248,False
0.18592964,0.020603014,0.974064,0.09813529,False
0.18844222,0.020603014,0.97655433,0.099923596,False
0.19095477,0.020603014,0.9790032,0.10171733,False
0.19346733,0.020603014,0.9814117,0.10351608,False
0.1959799,0.020603014,0.983781,0.10532001,False
0.19849247,0.020603014,0.9861119,0.107129216,False
0.20100503,0.020603014,0.9884056,0.10894309,False
0.20351759,0.020603014,0.99066305,0.110761985,False
0.20603015,0.020603014,0.992885,0.11258572,False
0.2085427,0.020603014,0.99507254,0.114414416,False
0.21105528,0.020603014,0.9972266,0.11624773,False
0.21356784,0.020603014,0.99934775,0.118085556,False
0.2160804,0.020603014,1.0014368,0.11992828,False
0.21859296,0.020603014,1.0034947,0.121775545,False
0.22110553,0.020603014,1.0055221,0.123627245,False
0.22361809,0.020603014,1.0075198,0.12548308,False
0.22613065,0.020603014,1.0094885,0.12734362,False
0.22864321,0.020603014,1.0114287,0.12920837,False
0.23115578,0.020603014,1.0133413,0.13107735,False
0.23366834,0.020603014,1.0152266,0.13295075,False
0.2361809,0.020603014,1.0170856,0.13482825,False
0.23869346,0.020603014,1.0189184,0.13670981,False
0.24120602,0.020603014,1.020726,0.13859567,False
0.2437186,0.020603014,1.0225089,0.14048544,False
0.24623115,0.020603014,1.0242673,0.14237936,False
0.24874371,0.020603014,1.0260022,0.14427711,False
0.2512563,0.020603014,1.0277137,0.14617877,False
0.25376883,0.020603014,1.0294029,0.14809033,False
0.2562814,0.020603014,1.031069,0.14999834,False
0.25879398,0.020603014,1.0327135,0.15190724,False
0.26130652,0.020603014,1.0343368,0.1538241,False
0.2638191,0.020603014,1.0359391,0.15574507,False
0.26633164,0.020603014,1.0375208,0.1576696,False
0.26884422,0.020603014,1.0390825,0.15959777,False
0.2713568,0.020603014,1.0406243,0.1615297,False
0.27386934,0.020603014,1.0421467,0.16346522,False
0.2763819,0.020603014,1.0436504,0.16540414,False
0.27889448,0.020603014,1.0451353,0.167347,False
0.28140703,0.020603014,1.0466018,0.16929305,False
0.2839196,0.020603014,1.0480505,0.17124271,False
0.28643215,0.020603014,1.0494816,0.1731959,False
0.28894472,0.020603014,1.0508955,0.17515258,False
0.2914573,0.020603014,1.0522922,0.17711237,False
0.29396984,0.020603014,1.0536724,0.17907588,False
0.2964824,0.020603014,1.0550363,0.18104255,False
0.29899496,0.020603014,1.0563841,0.18301274,False
0.30150753,0.020603014,1.0577161,0.18498605,False
0.3040201,0.020603014,1.0590324,0.18696295,False
0.30653265,0.020603014,1.0603337,0.18894374,False
0.30904523,0.020603014,1.0616201,0.19092818,False
0.3115578,0.020603014,1.0628916,0.19291261,False
0.31407034,0.020603014,1.0641487,0.19490218,False
0.31658292,0.020603014,1.0653915,0.19689494,False
0.31909546,0.020603014,1.0666205,0.19889112,False
0.32160804,0.020603014,1.0678356,0.20089023,False
0.3241206,0.020603014,1.0690371,0.20289256,False
0.32663316,0.020603014,1.0702254,0.20489775,False
0.32914573,0.020603014,1.0714004,0.2069064,False
0.33165827,0.020603014,1.0725628,0.20891811,False
0.33417085,0.020603014,1.0737123,0.2109327,False
0.33668342,0.020603014,1.0748495,0.2129503,False
0.33919597,0.020603014,1.0759741,0.21497104,False
0.34170854,0.020603014,1.0770868,0.21699476,False
0.34422112,0.020603014,1.0781877,0.21902148,False
0.34673366,0.020603014,1.0792767,0.22105116,False
0.34924623,0.020603014,1.0803541,0.2230837,False
0.35175878,0.020603014,1.0814202,0.22511938,False
0.35427135,0.020603014,1.0824752,0.22715795,False
0.35678393,0.020603014,1.083519,0.22919919,False
0.35929647,0.020603014,1.0845519,0.23124367,False
0.36180905,0.020603014,1.0855742,0.23329096,False
0.3643216,0.020603014,1.0865858,0.23534095,False
0.36683416,0.020603014,1.087587,0.237394,False
0.36934674,0.020603014,1.0885779,0.23945002,False
0.37185928,0.020603014,1.0895588,0.24150856,False
0.37437186,0.020603014,1.0905297,0.2435703,False
0.37688443,0.020603014,1.0914906,0.24563466,False
